fit,correct_class_probability,p_n3,p_n4,p_n5,window_decades,high_end_snr
constrained,0.9996,0.0,0.9996,0.0004,0.8390102623853152,4.01331587916707
unconstrained,0.5998,0.1644,0.5998,0.2358,0.8390102623853152,4.01331587916707
