quantity,T_K,gamma_oc_GHz,gamma_over_excited_spread
0.01,71.31455440980206,79.01443334804547,4.216436958273093
0.001,80.96239255277767,143.85320291744185,7.676419808964741
0.0001,90.27853899530386,236.35821112830445,12.612752563862427
0.0,101.44123823846583,393.2377879276355,20.984297072715176
dA_0.0001,70.64755353922347,75.53053916731696,4.030526364981473
dA_1e-05,79.14682335244399,129.43377161873917,6.906957566828271
dA_1e-06,87.19917981001866,202.18089554233183,10.788952905178643
