T_K,NV_korb_GHz,SiV_GHz,SnV_GHz
4,9.228516275496172e-05,0.05464085859998098,81.00000000000003
10,0.0089034317578721,0.09119570963513879,81.00009050256851
20,0.28376031413071423,0.1676298609278752,81.12117487105262
50,27.59521481500229,0.40849756455295383,90.6393086392002
100,739.7777202776099,0.8139550620464383,131.31466076542267
200,8937.555415619174,1.6263886686008486,234.67103517908927
300,26699.031348118468,2.4391602826187415,344.0074721305072
