Gamma_over_gamma_e,abs_R_full_optical,abs_R_all_coherences,abs_R_selective_e2,abs_R_class_I
0.01,0.7769973820764944,0.7072310863245069,0.7864722433018408,0.0
0.010553861030365236,0.7764733590595524,0.7032275639767436,0.7864672905922546,8.522663017043966e-17
0.011138398264826195,0.7759209551820249,0.6990427224715282,0.7864620639928198,1.1102230246251565e-16
0.011755310738783694,0.7753386704610578,0.6946704828532216,0.786456548381956,2.378022614446757e-16
0.012406391590588319,0.7747249298079805,0.6901047830847917,0.7864507278060568,1.1102230246251565e-16
0.013093533273536101,0.7740780797391009,0.6853396051265052,0.7864445854340392,1.1102230246251565e-16
0.013818733056536322,0.773396384997147,0.6803690046226026,0.7864381035094451,2.220446049250313e-16
0.014584098829439862,0.7726780250879066,0.6751871432547357,0.7864312632999728,1.1102230246251565e-16
0.015391855229902053,0.7719210907377864,0.6697883237975325,0.7864240450443019,1.1102230246251565e-16
0.01624435010958867,0.7711235802793024,0.6641670278840137,0.7864164278960749,1.1102230246251565e-16
0.017144061358519713,0.7702833959729725,0.6583179564565054,0.7864083898648879,0.0
0.018093604107387164,0.7693983402756868,0.6522360728420615,0.7863999077541383,1.1102230246251565e-16
0.019095738328780976,0.7684661120674248,0.6459166483501738,0.78639095709557,0.0
0.02015337685941733,0.7674843028501607,0.6393553102447637,0.7863815120803497,1.1102230246251565e-16
0.02126959386668691,0.7664503929349898,0.6325480918923388,0.7863715454864998,1.1102230246251565e-16
0.022447633784132236,0.7653617476358854,0.6254914848340373,0.7863610286025066,1.1102230246251565e-16
0.023690920741826334,0.764215613491135,0.6181824924716415,0.786349931146915,1.1102230246251565e-16
0.025003068519063237,0.7630091145363596,0.6106186849971487,0.7863382211837123,2.220446049250313e-16
0.02638789104828933,0.7617392486561309,0.6027982551330289,0.7863258650332967,2.373648161185925e-16
0.02784941350080644,0.7604028840445872,0.5947200741869852,0.7863128271788162,0.0
0.02939188398646886,0.758996755809084,0.5863837478620826,0.7862990701676599,0.0
0.031019785901380968,0.7575174627548461,0.5777896712020705,0.7862845545078694,0.0
0.03273785095948577,0.7559614643927894,0.5689390819942101,0.7862692385592361,1.1102230246251565e-16
0.03455107294592218,0.7543250782171615,0.5598341118997759,0.7862530784188384,1.1102230246251565e-16
0.03646472223212749,0.7526044773044138,0.5504778345375672,0.7862360278007665,1.1102230246251565e-16
0.03848436109487429,0.7507956882897426,0.5408743097102787,0.7862180379097748,2.220446049250313e-16
0.0406158598837698,0.7488945897830136,0.53102862293945,0.7861990573085976,0.0
0.04286541408420925,0.7468969112912912,0.52094691946396,0.7861790317786517,1.3834932958601368e-16
0.04523956232538053,0.7447982327208955,0.5106364318614756,0.7861579041738503,1.1102230246251565e-16
0.047745205385661287,0.742593984537771,0.5001055004735678,0.7861356142672425,0.0
0.0503896262506515,0.7402794486709093,0.48936358585466677,0.7861120985901932,0.0
0.053180511282142,0.7378497602495704,0.47842127252359645,0.7860872902638106,1.1102230246251565e-16
0.056125972559549715,0.7352999102710077,0.467290263374535,0.7860611188223346,1.37724716864138e-16
0.05923457145875803,0.7326247493012242,0.4559833642017739,0.7860335100281917,0.0
0.06251534353689711,0.7298189923168614,0.4445144579088832,0.7860043856784311,2.363581252424302e-16
0.06597782479539537,0.7268772248015255,0.4328984681064346,0.785973663402262,1.1102230246251565e-16
0.06963207939763882,0.7237939102145159,0.4211513119512325,0.7859412564494157,1.1102230246251565e-16
0.07348872892180387,0.720563398953894,0.40928984224136894,0.7859070734690725,0.0
0.07755898323389002,0.7171799389388915,0.3973317789520249,0.7858710182791092,1.1102230246251565e-16
0.08185467307069029,0.7136376879386258,0.3852956305729712,0.7858329896254422,0.0
0.08638828442740444,0.7099307277746907,0.37320060578592273,0.7857928809312679,1.1102230246251565e-16
0.09117299484984921,0.7060530805241892,0.361066516193762,0.7857505800360352,7.884355296899995e-17
0.09622271173675134,0.7019987268468916,0.3489136709795366,0.785705968924026,7.847480873302697e-17
0.10155211276345681,0.6977616265551115,0.33676276452647264,0.7856589234424672,7.808928611340822e-17
0.10717668854455029,0.6933357415373376,0.3246347581667513,0.7856093130091566,1.3550324820377912e-16
0.11311278765939213,0.6887150611362604,0.3125507573425024,0.7855570003096545,1.1102230246251565e-16
0.11937766417144363,0.6838936300683325,0.3005318855541579,0.7855018409841792,1.1102230246251565e-16
0.12598952777950273,0.6788655789550386,0.28859915653634,0.7854436833044364,2.220446049250313e-16
