T_K,Bx_T,C_full,C_reduced,ratio_full_reduced,rel_err,sign_agree,klass_full
20.0,0.0,-0.7760861200962301,-0.1683081010058141,4.611103776100598,3.611103776100598,True,absorption
20.0,0.05,-17.695459478479528,-14.793312805023238,1.1961796327642604,0.19617963276426043,True,absorption
20.0,0.1,-39.698953095567425,-8.410023926808734,4.720432835989753,3.7204328359897527,True,absorption
20.0,0.15,-5.383335242454614,0.7864342092243495,-6.845245513625524,7.845245513625524,False,absorption
20.0,0.2,-1.6728287002662736,0.9993960555500416,-1.6738396064066834,2.6738396064066836,False,absorption
20.0,0.23226114680059184,-1.5283330939901922,0.9993521459318151,-1.529323872682682,2.5293238726826823,False,absorption
20.0,0.3,-1.2239448390146368,0.9991868943079916,-1.2249408453883956,2.224940845388396,False,absorption
20.0,0.4,0.9987922628269649,0.9987805531405187,1.0000117239832207,1.1723983220667614e-05,True,ATS
20.0,0.5,0.9981823530374772,0.9981646999715432,1.000017685524177,1.7685524176956585e-05,True,ATS
25.0,0.0,-0.04182304520339471,-0.04221518595485563,0.990710907873762,0.009289092126237953,True,unresolved
25.0,0.05,-16.28442889183812,-7.2711628490935505,2.2395907270689444,1.2395907270689446,True,absorption
25.0,0.1,-46.54670970281406,-2.0750984270810795,22.43108524171965,21.43108524171965,True,absorption
25.0,0.15,-8.152677589903538,0.8601612035687006,-9.478081034205106,10.478081034205106,False,absorption
25.0,0.2,0.9979031587586034,0.9978884390815097,1.000014750824358,1.4750824357884917e-05,True,transparency
25.0,0.23226114680059184,0.9978039781898607,0.9977877598570467,1.0000162542912094,1.625429120946418e-05,True,transparency
25.0,0.3,0.9973035847810275,0.9972827500010557,1.0000208915475293,2.0891547529336506e-05,True,transparency
25.0,0.4,0.9960477610239207,0.9959777643655582,1.000070279338422,7.027933842185764e-05,True,transparency
25.0,0.5,0.9940227641802313,0.9939750856699227,1.0000479675104497,4.796751044971073e-05,True,transparency
30.0,0.0,-0.012526207113878607,-0.01277822529847603,0.9802775284743588,0.019722471525641248,True,absorption
30.0,0.05,-12.676757512103011,-1.9025095668174148,6.663176749912033,5.663176749912033,True,absorption
30.0,0.1,-26.012333499429417,0.06594932881219624,-394.4290862080596,395.4290862080595,False,absorption
30.0,0.15,-3.3728665690644895,0.9327459782771292,-3.616061229547723,4.616061229547723,False,absorption
30.0,0.2,0.9923819338848824,0.9923467553387307,1.0000354498525463,3.544985254639196e-05,True,transparency
30.0,0.23226114680059184,0.9922171859524048,0.9921784835715453,1.0000390074784935,3.900747849343669e-05,True,transparency
30.0,0.3,0.9906906349830787,0.9906410498700375,1.0000500535618302,5.0053561830202014e-05,True,transparency
30.0,0.4,0.9866904556467772,0.9863996367084285,1.000294828715995,0.0002948287159950224,True,transparency
30.0,0.5,0.9869287393823564,0.979826409473836,1.0072485593773026,0.007248559377302622,True,transparency
40.0,0.0,-0.020131510909285485,-0.0005526638120749741,36.42632368799724,35.42632368799724,True,absorption
40.0,0.05,-2.893153811488672,0.131539511195996,-21.994561065213524,22.994561065213524,False,absorption
40.0,0.1,-2.6159954447273757,0.6167299954195724,-4.241719170716948,5.241719170716948,False,absorption
40.0,0.15,0.896982629125028,0.8943472763560869,1.0029466772456428,0.0029466772456428207,True,transparency
40.0,0.2,0.9221218833481395,0.9176208388906545,1.004905124498836,0.004905124498836014,True,transparency
40.0,0.23226114680059184,0.9250972996703776,0.9165158451015509,1.0093631273421966,0.009363127342196475,True,transparency
40.0,0.3,0.9261194248699626,0.9042782748285796,1.0241531292405794,0.024153129240579538,True,transparency
40.0,0.4,0.9205572979667695,0.8692183917305781,1.0590632995396907,0.059063299539690785,True,transparency
40.0,0.5,0.909062894413482,0.8190442633996564,1.1099069183882442,0.10990691838824414,True,transparency
50.0,0.0,0.0014582608088408427,0.0013539853775358817,1.0770137056389277,0.07701370563892783,True,unresolved
50.0,0.05,-0.2513975097733262,0.2100764806747671,-1.1966951700915573,2.1966951700915573,False,absorption
50.0,0.1,0.4504958965529664,0.4419281489551256,1.0193871959007317,0.019387195900731773,True,transparency
50.0,0.15,0.552312784478436,0.5473953567417528,1.0089833201471659,0.008983320147165885,True,transparency
50.0,0.2,0.5697023456423562,0.55345414664436,1.0293578051524421,0.02935780515244209,True,transparency
50.0,0.23226114680059184,0.5801224561261223,0.5460477655779928,1.062402399013686,0.062402399013685855,True,transparency
50.0,0.3,0.5887819980023771,0.508129176601331,1.1587250351190224,0.15872503511902228,True,transparency
50.0,0.4,0.5858207291480012,0.4264738322878792,1.3736381573642702,0.3736381573642702,True,transparency
50.0,0.5,0.5711927934035373,0.34528394139099833,1.6542697905452852,0.6542697905452852,True,transparency
60.0,0.0,0.00038524544522473527,0.0003403914664226796,1.1317717487851426,0.13177174878514264,True,transparency
60.0,0.05,0.06100761934134454,0.06094439608353774,1.001037392473627,0.0010373924736269992,True,transparency
60.0,0.1,0.1105924465689456,0.11050132359946285,1.0008246323800885,0.0008246323800883963,True,transparency
60.0,0.15,0.12199673843665877,0.121902460026087,1.0007733921903759,0.0007733921903758033,True,transparency
60.0,0.2,0.12947119846896127,0.12359013183228303,1.0475852444648177,0.04758524446481775,True,transparency
60.0,0.23226114680059184,0.13235223083541553,0.12048829826142572,1.0984654339481865,0.09846543394818649,True,transparency
60.0,0.3,0.13703099019405482,0.10593751409603104,1.2935076999242963,0.2935076999242962,True,transparency
60.0,0.4,0.13603629034696388,0.08232572550996824,1.6524153234518681,0.6524153234518681,True,transparency
60.0,0.5,0.132017729658888,0.06452564476181548,2.0459730413575428,1.0459730413575425,True,transparency
70.0,0.0,4.146316513429846e-05,-6.343033942758713e-07,-65.36803288217199,66.36803288217199,False,unresolved
70.0,0.05,0.00664094712494651,0.006604558482316334,1.0055096253182716,0.005509625318271623,True,transparency
70.0,0.1,0.011534679951804655,0.011460462783997183,1.0064759311387588,0.00647593113875869,True,transparency
70.0,0.15,0.01256161828756131,0.012493674286674836,1.0054382721469648,0.0054382721469647555,True,transparency
70.0,0.2,0.013413390288057873,0.013373543189242899,1.0029795468748346,0.002979546874834613,True,transparency
70.0,0.23226114680059184,0.013871069386762093,0.013600149740747292,1.019920342877042,0.01992034287704203,True,transparency
70.0,0.3,0.01425963068517137,0.012980083728683684,1.0985777120728515,0.09857771207285153,True,transparency
70.0,0.4,0.014132328384625328,0.011237961409460696,1.257552670783155,0.2575526707831551,True,transparency
70.0,0.5,0.013787992701560272,0.009643926503742623,1.4297073599855221,0.4297073599855222,True,transparency
80.0,0.0,-1.446334806498283e-05,-1.1691641654405573e-05,1.2370673419957956,0.23706734199579568,True,absorption
80.0,0.05,0.0006159832978769588,0.000573018861150081,1.0749790969195077,0.0749790969195076,True,transparency
