sample,Bx_T,T_1pct,T_sign,scale_orb,d_GHz,gg_GHz,Oc_GHz,gamma_extra_GHz,phonon_model
0,0.23226114680059184,74.29633188270839,103.09190027371753,1.0100364627694889,1.453785082240395,3.2047935182990604e-05,0.09285497809132168,0.007117153191543563,conservative_lower_bound
1,0.23226114680059184,77.49958082570585,108.27649158817681,0.7748340628775173,1.9944812100548317,0.00010344774625008987,0.09673613527317909,0.0017897215551416548,saturation
2,0.23226114680059184,69.9183248128133,98.24379411137295,1.19264250891948,2.1518118101800394,2.5147223722469988e-05,0.08799522943995565,0.009563651156213887,conservative_lower_bound
3,0.23226114680059184,69.43926559698752,98.1746609698069,1.2447753168058984,1.7502328549138437,8.201185129666172e-05,0.10851195240795089,0.003977263391185449,saturation
4,0.23226114680059184,79.71924628668523,117.2451941897511,0.6154701214883697,1.4326768340544975,4.464426394480203e-05,0.09740460342293361,0.018605905701537532,full_happacher
5,0.23226114680059184,71.57314022681349,103.16263469952112,1.0032625651875289,1.771745763820669,0.0001829707252349217,0.10527517779426741,0.0014698082100168056,full_happacher
6,0.23226114680059184,70.9988495247701,98.52284068416053,1.068646299858145,2.1331037794350323,8.239739460480301e-05,0.11348761764857851,0.0019307513492987473,saturation
7,0.23226114680059184,70.82450464598169,98.51874501464785,1.0581787355252394,1.7752016441462364,6.776281696724816e-05,0.08778603061054029,0.004256627379000003,saturation
8,0.23226114680059184,79.05115223276715,116.79016081968649,0.7071267689268674,2.1083551368085773,4.964290245640288e-05,0.0907369254003651,0.04062564890909694,conservative_lower_bound
9,0.23226114680059184,69.87019383891419,98.42459873327307,1.0889855821597108,0.8624043615147854,0.0001656125890872616,0.11231021883072217,0.013101259929887959,full_happacher
10,0.23226114680059184,68.38198407933577,93.50587288455306,1.407389090615583,1.5861610342277705,0.00017660713025757408,0.09988573039370285,0.0023406208897654318,full_happacher
11,0.23226114680059184,73.11919316418619,103.30837996018573,1.0076522002531592,2.273302689584762,0.00016823798197877394,0.10434472110786744,0.006244766096498725,conservative_lower_bound
12,0.23226114680059184,77.12126629157297,103.25472959669304,0.7910105271132164,1.676225449754503,3.4692848601943644e-05,0.08728870823842629,0.006280214432930379,naive_T5_extrapolation
13,0.23226114680059184,69.66805794171702,98.48064642578436,1.1224282566725667,1.7697005185778956,0.00017010308946167928,0.09376233974661807,0.07489132225406643,saturation
14,0.23226114680059184,71.02007804563355,98.4861691961098,1.0776982850758612,2.15538309942764,4.040138117636846e-05,0.09898021200430515,0.015411518220256201,full_happacher
15,0.23226114680059184,78.15270294731445,108.09321063672498,0.7993395627846542,2.1635105070286604,2.300435636536389e-05,0.09199824370900173,0.0019074908923247642,conservative_lower_bound
16,0.23226114680059184,75.68937124298651,103.18930998613126,0.8977240532069177,1.2729787580994865,4.228220627937207e-05,0.0975646563116794,0.0013271807078246085,full_happacher
17,0.23226114680059184,70.5302592967506,98.24177536967937,1.1005706638087176,1.347557739093667,2.2421057224735754e-05,0.0977359676281974,0.06974537541718868,full_happacher
18,0.23226114680059184,78.1164183936679,108.12441058243736,0.7989467721484735,2.092823230426722,3.4301943070351726e-05,0.0993913469748149,0.01016371416128776,conservative_lower_bound
19,0.23226114680059184,84.05708484329861,117.87585365919202,0.4420546424398229,1.6670629904316818,6.605129738155114e-05,0.12027225609571168,0.05407869193521399,naive_T5_extrapolation
20,0.23226114680059184,77.33167093949655,108.01861799897479,0.8569914177666317,2.144176056347174,2.9295203428398123e-05,0.10304471026886797,0.09148238513113853,conservative_lower_bound
21,0.23226114680059184,68.63657559101203,93.26642292629411,1.458836650802153,1.8404058564491106,2.1816605691452925e-05,0.08451152453262072,0.006805008862221548,saturation
22,0.23226114680059184,74.30044962931193,103.16273276432777,0.9929042333368983,1.5325106289910386,6.572271010253414e-05,0.09491076671892526,0.0034187733205690404,conservative_lower_bound
23,0.23226114680059184,77.06644748313475,103.330607707314,0.7842714228563392,1.8326314288338894,7.396557031287172e-05,0.09874239997183981,0.0016998703910903494,naive_T5_extrapolation
24,0.23226114680059184,71.08502253778714,98.44658355609177,1.0756935123726439,1.4925997370165218,3.2105766857142645e-05,0.09903322351200627,0.03495010917645096,saturation
25,0.23226114680059184,69.949039410936,98.26636115724985,1.0704540937866052,1.6520998214749132,8.175895972289112e-05,0.10578277663844192,0.004248247019997118,naive_T5_extrapolation
26,0.23226114680059184,77.28059775742263,103.46641859873296,0.8245819958414953,1.914991813577452,2.257121225834979e-05,0.10871874695875448,0.0035070368644182595,full_happacher
27,0.23226114680059184,84.50405024706801,130.871659475612,0.4912411377475324,1.7654800987598551,2.4980709128550278e-05,0.1076847353222302,0.06523878071466652,conservative_lower_bound
28,0.23226114680059184,75.95877096395486,103.40823552032921,0.8789690027119662,1.7699264126127336,6.337335729813607e-05,0.09924272563283609,0.0013658221867334822,saturation
29,0.23226114680059184,72.33424054146535,103.25109873939583,0.9977193693200815,1.1821759259864524,0.000190472116107766,0.09236728770115998,0.004469559273733876,conservative_lower_bound
30,0.23226114680059184,75.43473372805977,103.18805325033797,0.9184122492872916,1.6653531636207117,3.5443151895167836e-05,0.10440050789897087,0.0013401036605143358,saturation
31,0.23226114680059184,76.40253984481669,103.52256549488808,0.8364939215619115,1.733626656736854,0.0001305598783993114,0.10705507184706864,0.013036303181264362,saturation
32,0.23226114680059184,78.20529739606047,108.2724993679249,0.7879940662122193,1.8887332575345104,6.373879027822717e-05,0.11790557918012295,0.001392775414419466,conservative_lower_bound
33,0.23226114680059184,74.71004820028743,103.12095348806106,0.9489630512142845,1.4893205335471296,3.474500780359667e-05,0.10093138084931273,0.0049069569067866515,full_happacher
34,0.23226114680059184,70.52864272548261,98.24758191765743,1.0593845527869452,1.585283621465027,3.795513618190217e-05,0.10227195999563435,0.0012817972249715647,naive_T5_extrapolation
35,0.23226114680059184,79.57477681255484,117.41441402110178,0.6512976942656759,2.5645594456110574,8.2809346719285e-05,0.09974704764976336,0.012254847748376298,conservative_lower_bound
36,0.23226114680059184,79.72852259318712,117.21619818733316,0.6467959928244661,1.4519076468766092,3.5953415355377526e-05,0.11005464682395019,0.005616653325016239,conservative_lower_bound
37,0.23226114680059184,77.569815262578,108.07075126790615,0.7905688978468424,1.4180424797197921,7.277134595371404e-05,0.11942937183074909,0.0013686906750363026,full_happacher
38,0.23226114680059184,77.08623243716409,103.46459486642004,0.8183717577208437,1.035122606330522,7.107155830402725e-05,0.11733817195023499,0.005826378683314314,saturation
39,0.23226114680059184,73.34175419417727,103.09162821366601,1.000497961767975,2.027032128107619,6.392124059545987e-05,0.122452272127334,0.03375152848366315,full_happacher
40,0.23226114680059184,66.74214558770322,88.93096774206661,1.7115069551722946,1.834452152014845,4.133235365360733e-05,0.0806603341782913,0.03238953999678501,full_happacher
41,0.23226114680059184,76.34892956526696,103.37753052645763,0.8713310809899145,1.562086972009901,4.200987682555777e-05,0.1136666644801006,0.00174071528071243,full_happacher
42,0.23226114680059184,78.91594500249057,117.24061769984671,0.6584929684478108,1.6845768100985157,0.00013140477053739203,0.09066425958855723,0.013590508630545131,full_happacher
43,0.23226114680059184,76.46958777644748,103.29379644385357,0.7964087002509608,0.8607666161183068,0.00015076652233480536,0.11346077544643428,0.09082256429512857,naive_T5_extrapolation
44,0.23226114680059184,76.15093729887397,103.45715397114549,0.849231100909598,1.2239211498284241,0.00010723998491461073,0.10330902068546731,0.042246851392608926,saturation
45,0.23226114680059184,66.54108207022146,88.3956176108226,1.891772343976376,1.8113159149919722,2.2910560048378464e-05,0.09847167142305184,0.006798819930774481,conservative_lower_bound
46,0.23226114680059184,77.67164229387328,108.11979571347364,0.7720749746239683,1.5838467036516064,8.220274894061181e-05,0.10025135527160006,0.0080694479754369,saturation
47,0.23226114680059184,77.07838791930791,103.45341519264247,0.8279015853633682,1.8494701212503064,3.587039148275922e-05,0.10055703738198132,0.07396315058456825,full_happacher
48,0.23226114680059184,69.70936900727551,93.81709358506026,1.1416562101073502,1.4018907658968716,5.245349651129628e-05,0.08705776790320942,0.0038106912871552685,naive_T5_extrapolation
49,0.23226114680059184,69.97046290509245,98.4979448175625,1.1289099972181407,1.6951380185042848,9.996668342947851e-05,0.09329959731646154,0.07662259256956953,conservative_lower_bound
50,0.23226114680059184,69.55203459192465,98.20449170101749,1.2137236662330784,1.762305293710602,7.377484343587442e-05,0.0989094502595778,0.052849373334687956,full_happacher
51,0.23226114680059184,68.76543395403118,93.59745205579853,1.4385266805152377,1.9878854504169248,0.00018961108677534904,0.12677400489772842,0.010118999235758007,conservative_lower_bound
52,0.23226114680059184,89.53446444849335,132.6892110423213,0.354899505152849,1.505162294308107,3.1638647322503364e-05,0.09400235205048434,0.09016194070997506,full_happacher
53,0.23226114680059184,73.97048428069743,98.54797931284229,1.0301272644778412,1.3135775977069142,2.8709545688867454e-05,0.10809557312916614,0.01224830194909772,conservative_lower_bound
54,0.23226114680059184,73.21760968915792,98.58106708031326,0.9781018718435505,1.2273767055980074,7.033618517841348e-05,0.09235426712537653,0.0011061933128820838,full_happacher
55,0.23226114680059184,75.47899875762667,103.17118956049457,0.9213686327881102,1.7798856148728683,2.0051009107101183e-05,0.10652642710328256,0.04642698213710441,saturation
56,0.23226114680059184,69.69333695169084,98.20853164271651,1.1915072130094644,1.7665297853891924,3.7504144881080296e-05,0.09900297474785873,0.0495764112911735,saturation
57,0.23226114680059184,67.29714672785902,88.72394666363178,1.6175944606449788,1.9705796156688038,7.854391751954261e-05,0.10265066021455878,0.008209954543235075,naive_T5_extrapolation
58,0.23226114680059184,69.37725643602874,98.26867123756756,1.2501706215015256,1.2552062389431653,0.00014400664591012957,0.08634713802970906,0.037922877548697956,conservative_lower_bound
59,0.23226114680059184,68.61900498227091,93.32472076866785,1.5091657572297494,1.8226067944008162,5.3366502751430036e-05,0.09459696271202872,0.0013089578733305439,conservative_lower_bound
