scenario,D,window_nu1,window_nu2,window_nu3,window_nu4
single,4.069121212038161,4.069121212038161,2.0345606060190806,1.3563737373460538,1.0172803030095403
low_density,2.6930868226295073,2.6930868226295073,1.3465434113147536,0.8976956075431691,0.6732717056573768
high_density,2.046021958304464,2.046021958304464,1.023010979152232,0.6820073194348213,0.511505489576116
post_selected,2.9110867254466894,2.9110867254466894,1.4555433627233447,0.9703622418155632,0.7277716813616724
post_selected_shimmed,3.3560410495412607,3.3560410495412607,1.6780205247706304,1.118680349847087,0.8390102623853152
