T_K,dA_plus,dA_minus,A_full,A_reduced
70.0,0.00037100248420409224,2.609674713091592e-06,0.9860300332802067,0.2238
80.0,2.4755308474223164e-05,1.4601486353696402e-07,0.9882725217807562,0.3042
90.0,1.3719611761577738e-06,9.207315953413397e-08,0.8742199451345246,0.364
101.0,1.709558437174019e-08,2.3331186130640114e-08,-0.154244370287574,0.4082
