T_K,Gamma_GHz,R,R_times_Gamma,rel_dev,C_class2,C_class3,tau_class2_s,tau_class3_s,both_detectable
40.0,4.530440070373026,5.4360278620967915,24.62759845010752,-0.5784217909965421,1.8528809393262493,10.072312411325566,7.326609259251751e-12,3.780150352193729e-19,True
50.0,13.797607407501145,3.6405661745894027,50.23110281801285,-0.14013790645535096,0.4192238158678549,1.5262120436308086,7.813795533614637e-10,1.6345339386536096e-11,True
60.0,34.06671587650877,1.6682676305061601,56.832399374429876,-0.027136113568686726,0.07690841278547424,0.12830381556361276,3.315958898879048e-08,1.1307727008732137e-08,True
70.0,72.22629464371656,0.8037047457205453,58.0486157709654,-0.006316774190110563,0.017419332254220526,0.013999999999999999,6.863295825128433e-07,1.0661751542169755e-06,True
80.0,136.0394950556691,0.4286244438538956,58.30985291040095,-0.0018448852403398774,0.004928838564142342,0.0021126206884011446,8.680437233424542e-06,4.738201220426301e-05,True
90.0,233.07969417748393,0.25046891904031426,58.37921905088143,-0.0006574672576856733,0.0016807868212849557,0.0004209848582644487,7.488939124519608e-05,0.0011954109839720454,True
101.0,385.96628583948717,0.15131547525093306,58.402671972639475,-0.0002559973063753773,0.0006131673008009582,9.27817015290288e-05,0.0005633474980217432,0.024687083914536275,True
110.0,551.5528632085031,0.10590064355060985,58.40980316596197,-0.00013392467655537477,0.0003002984033598017,3.1801794173023625e-05,0.0023499341975020604,0.21484476178681802,True
120.0,781.6445603907946,0.07473139138606898,58.4133855673563,-7.260069619197118e-05,0.0001495322084605353,1.117474999528752e-05,0.009486873858534105,2.1218211177087074,True
