T_K,Gamma_GHz,dA_class2_0_p1,C_class2_0_p1,dA_class2_0_m1,C_class2_0_m1,dA_class3_m1_p1,C_class3_m1_p1,R_abs,R_times_Gamma
50.0,13.797607407501145,0.019320279338938116,0.5462943454884207,7.055909954328116e-05,0.001995447750980311,-7.394695059823042e-06,-6.77041047485418e-05,0.0003827426576032865,0.00528093292771378
60.0,34.06671587650877,0.0035698939253271007,0.12059182299550679,2.4352176320255325e-05,0.0008227143373083531,-1.0480628085909882e-05,-0.0001625274919132241,0.0029358373960507995,0.10001433843089194
70.0,72.22629464371656,0.00037100248420409224,0.013618343413136003,2.609674713091592e-06,9.581065918860655e-05,-3.3740356353562095e-06,-8.970521986419823e-05,0.009094374779172956,0.6568529924009306
80.0,136.0394950556691,2.4755308474223164e-05,0.0012638295914386081,-1.4601486353696402e-07,-7.456807862188977e-06,-6.343475459670567e-07,-2.8918494268187726e-05,0.02562470779257631,3.4859723090511507
90.0,233.07969417748393,1.3719611761577738e-06,0.00010823287089125966,-9.207315953413397e-08,-7.267280957720167e-06,-1.2218128733927636e-07,-9.250562005763217e-06,0.08905593646713052,20.757130436448218
100.0,369.88886013880494,2.4438960742265148e-08,2.9558149281209026e-06,-2.6518866909699956e-08,-3.209919833475034e-06,-2.7378245889136954e-08,-3.2577248439011047e-06,1.120270463947698,414.37556495678416
110.0,551.5528632085031,-2.208455249057273e-08,-3.9352715121304586e-06,-7.542183098549482e-09,-1.3455268125423956e-06,-7.144566952811682e-09,-1.264391391937429e-06,0.3235097000883987,178.43270135948043
120.0,781.6445603907946,-1.0151729786661567e-08,-2.553447826680379e-06,-2.3319064795454536e-09,-5.875099646850655e-07,-2.1330781247233532e-09,-5.350661733164151e-07,0.2101196711841188,164.23889801216885
