xi_over_lambda,absM0
0.0,0.0
0.03,0.05989229072794689
0.1,0.19611613513818393
0.3,0.5144957554275267
1.0,0.8944271909999156
3.0,0.9863939238321439
10.0,0.9987523388778446
30.0,0.9998611400395996
100.0,0.9999875002343698
