B_perp_T,T_K,Gamma_GHz,dA_class2,dA_class3,R_abs,R_times_Gamma
0.01,70.0,72.22629464371656,3.3383950709606203e-06,-4.004340502747339e-05,11.99480713825489,866.3404745621523
0.01,80.0,136.0394950556691,1.1040694827824105e-07,-1.9384821932328516e-05,175.57610489763775,23885.284654115832
0.01,90.0,233.07969417748393,-3.654956231766149e-09,-4.64981538195533e-06,1272.1945454620247,296522.7155905519
0.01,100.0,369.88886013880494,-2.4382550275689474e-09,-1.1289476626787781e-06,463.0145944185301,171263.9405571012
0.05,70.0,72.22629464371656,0.0002509241807398671,-2.347432962669649e-05,0.09355148458582517,6.7568770900529165
0.05,80.0,136.0394950556691,1.2631910292607712e-05,-5.268179397315692e-06,0.41705326235562884,56.73571522217924
0.05,90.0,233.07969417748393,6.68735418129715e-07,-1.0838886509052792e-06,1.6208034171969588,377.77636480208804
0.05,100.0,369.88886013880494,2.3610498760956444e-08,-2.4992395502437814e-07,10.585289093412353,3915.380517002019
0.23226114680059184,70.0,72.22629464371656,0.00037100248420409224,-3.3740356353562095e-06,0.009094374779172956,0.6568529924009306
0.23226114680059184,80.0,136.0394950556691,2.4755308474223164e-05,-6.343475459670567e-07,0.02562470779257631,3.4859723090511507
0.23226114680059184,90.0,233.07969417748393,1.3719611761577738e-06,-1.2218128733927636e-07,0.08905593646713052,20.757130436448218
0.23226114680059184,100.0,369.88886013880494,2.4438960742265148e-08,-2.7378245889136954e-08,1.120270463947698,414.37556495678416
