T,Bx,Bz,Oc,j,z,pp,cc,joint,C,Acut,dA
70.0,0.23226114680059184,0.005,0.001,3,0.26283146149918846,0.11262551378825135,0.42372620549465234,0.21845452982115385,1.2699496661644557e-05,0.008676964579288187,1.1019308270787841e-07
70.0,0.23226114680059184,0.005,0.0010592537251772887,3,0.26283146149918846,0.11262551378825135,0.42372620549465234,0.21845452982115385,1.4247764549717958e-05,0.008676964579288187,1.2362734833194064e-07
70.0,0.23226114680059184,0.005,0.001122018454301963,3,0.26283146149918846,0.11262551378825135,0.42372620549465234,0.21845452982115385,1.598461204905255e-05,0.008676964579288187,1.3869791256329217e-07
70.0,0.23226114680059184,0.005,0.001188502227437019,3,0.26283146149918846,0.11262551378825135,0.42372620549465234,0.21845452982115385,1.7932962039710262e-05,0.008676964579288187,1.5560367642028558e-07
70.0,0.23226114680059184,0.005,0.0012589254117941675,3,0.26283146149918846,0.11262551378825135,0.42372620549465234,0.21845452982115385,2.0118511854774717e-05,0.008676964579288187,1.745676147518697e-07
70.0,0.23226114680059184,0.005,0.001333521432163324,3,0.26283146149918846,0.11262551378825135,0.42372620549465234,0.21845452982115385,2.257006599209505e-05,0.008676964579288187,1.9583966316560567e-07
70.0,0.23226114680059184,0.005,0.001412537544622754,3,0.26283146149918846,0.11262551378825135,0.42372620549465234,0.21845452982115385,2.5319907923168782e-05,0.008676964579288187,2.1969994420017384e-07
70.0,0.23226114680059184,0.005,0.0014962356560944327,3,0.26283146149918846,0.11262551378825135,0.42372620549465234,0.21845452982115385,2.840421538460889e-05,0.008676964579288187,2.464623707947239e-07
70.0,0.23226114680059184,0.005,0.001584893192461114,3,0.26283146149918846,0.11262551378825135,0.42372620549465234,0.21845452982115385,3.18635239743473e-05,0.008676964579288187,2.7647866889671147e-07
70.0,0.23226114680059184,0.005,0.0016788040181225606,3,0.26283146149918846,0.11262551378825135,0.42372620549465234,0.21845452982115385,3.574324433978652e-05,0.008676964579288187,3.1014286508517066e-07
70.0,0.23226114680059184,0.005,0.0017782794100389228,3,0.26283146149918846,0.11262551378825135,0.42372620549465234,0.21845452982115385,4.009423873574825e-05,0.008676964579288187,3.4789628934361196e-07
70.0,0.23226114680059184,0.005,0.0018836490894898002,3,0.26283146149918846,0.11262551378825135,0.42372620549465234,0.21845452982115385,4.497346324164219e-05,0.008676964579288187,3.902331475556486e-07
70.0,0.23226114680059184,0.005,0.001995262314968879,3,0.26283146149918846,0.11262551378825135,0.42372620549465234,0.21845452982115385,5.04446824527119e-05,0.008676964579288187,4.3770672285562153e-07
70.0,0.23226114680059184,0.005,0.0021134890398366475,3,0.26283146149918846,0.11262551378825135,0.42372620549465234,0.21845452982115385,5.6579263989237956e-05,0.008676964579288187,4.909362695568134e-07
70.0,0.23226114680059184,0.005,0.00223872113856834,3,0.26283146149918846,0.11262551378825135,0.42372620549465234,0.21845452982115385,6.345706068583148e-05,0.008676964579288187,5.506146678767007e-07
70.0,0.23226114680059184,0.005,0.0023713737056616554,3,0.26283146149918846,0.11262551378825135,0.42372620549465234,0.21845452982115385,7.116738881084668e-05,0.008676964579288187,6.175169119121472e-07
70.0,0.23226114680059184,0.005,0.0025118864315095794,3,0.26283146149918846,0.11262551378825135,0.42372620549465234,0.21845452982115385,7.981011109724636e-05,0.008676964579288187,6.925095070598617e-07
70.0,0.23226114680059184,0.005,0.0026607250597988083,3,0.26283146149918846,0.11262551378825135,0.42372620549465234,0.21845452982115385,8.949683370643186e-05,0.008676964579288187,7.765608560291544e-07
70.0,0.23226114680059184,0.005,0.002818382931264455,3,0.26283146149918846,0.11262551378825135,0.42372620549465234,0.21845452982115385,0.00010035222645062129,0.008676964579288187,8.707527143647481e-07
70.0,0.23226114680059184,0.005,0.0029853826189179603,3,0.26283146149918846,0.11262551378825135,0.42372620549465234,0.21845452982115385,0.00011251547560948145,0.008676964579288187,9.762927964852345e-07
70.0,0.23226114680059184,0.005,0.0031622776601683794,3,0.26283146149918846,0.11262551378825135,0.42372620549465234,0.21845452982115385,0.00012614187841920114,0.008676964579288187,1.0945286110082854e-06
