threshold,target,baseline_K,n_valid,n_samples,q02_5,q16,median,q84,q97_5,band_68_K,band_95_K
T_1pct,0.01,71.31455440980206,500,500,63.358626097780615,67.19228041870413,71.48470536520327,75.7848132346535,79.5991776974083,8.592532815949369,16.24055159962768
T_0.1pct,0.001,80.9623925527777,500,500,71.74185308167927,76.13934441883188,81.14868929397805,86.27727853096226,90.80103903558098,10.137934112130381,19.059185953901718
T_0.01pct,0.0001,90.27853899530373,500,500,79.7924894667881,84.66057722225887,90.52699700097449,96.3934920896329,101.79036777333447,11.732914867374035,21.99787830654637
T_sign,0.0,101.44123823846584,500,500,89.19239679498286,95.13611927083102,101.943054376224,108.87380416209483,115.20530334809096,13.737684891263811,26.01290655310811
