T,Bx,Bz,Oc,j,z,pp,cc,joint,C,Acut,dA
20.0,0.23226114680059184,0.005,0.1,3,0.26283146149918846,0.11262551378825135,0.42372620549465234,0.21845452982115385,0.9993521459318151,0.6425884214176779,0.642172117894694
20.5,0.23226114680059184,0.005,0.1,3,0.26283146149918846,0.11262551378825135,0.42372620549465234,0.21845452982115385,0.9992702133307677,0.5808649146422551,0.5804410071709244
21.0,0.23226114680059184,0.005,0.1,3,0.26283146149918846,0.11262551378825135,0.42372620549465234,0.21845452982115385,0.9991769837769062,0.5252495816258923,0.524817292699041
21.5,0.23226114680059184,0.005,0.1,3,0.26283146149918846,0.11262551378825135,0.42372620549465234,0.21845452982115385,0.9990709266094596,0.4752109582221044,0.47476945236592705
22.0,0.23226114680059184,0.005,0.1,3,0.26283146149918846,0.11262551378825135,0.42372620549465234,0.21845452982115385,0.998950297259109,0.4302351219386492,0.42978350295192264
22.5,0.23226114680059184,0.005,0.1,3,0.26283146149918846,0.11262551378825135,0.42372620549465234,0.21845452982115385,0.9988131081019108,0.38983487771012226,0.38937218585217553
23.0,0.23226114680059184,0.005,0.1,3,0.26283146149918846,0.11262551378825135,0.42372620549465234,0.21845452982115385,0.9986570958996034,0.35355530547905195,0.35308051460960715
23.5,0.23226114680059184,0.005,0.1,3,0.26283146149918846,0.11262551378825135,0.42372620549465234,0.21845452982115385,0.9984796855341856,0.32097657189650497,0.3204885865710632
24.0,0.23226114680059184,0.005,0.1,3,0.26283146149918846,0.11262551378825135,0.42372620549465234,0.21845452982115385,0.9982779497356232,0.2917147572719196,0.2912124097970369
24.5,0.23226114680059184,0.005,0.1,3,0.26283146149918846,0.11262551378825135,0.42372620549465234,0.21845452982115385,0.9980485644954624,0.26542129894788175,0.26490334640145435
25.0,0.23226114680059184,0.005,0.1,3,0.26283146149918846,0.11262551378825135,0.42372620549465234,0.21845452982115385,0.9977877598570467,0.24178151686030067,0.24124663808287816
25.5,0.23226114680059184,0.005,0.1,3,0.26283146149918846,0.11262551378825135,0.42372620549465234,0.21845452982115385,0.9974912657761876,0.22051257185979917,0.2199593644239936
26.0,0.23226114680059184,0.005,0.1,3,0.26283146149918846,0.11262551378825135,0.42372620549465234,0.21845452982115385,0.9971542527558949,0.2013611134744389,0.20078809064069908
26.5,0.23226114680059184,0.005,0.1,3,0.26283146149918846,0.11262551378825135,0.42372620549465234,0.21845452982115385,0.9967712669770227,0.18410079971371862,0.1835063873821264
27.0,0.23226114680059184,0.005,0.1,3,0.26283146149918846,0.11262551378825135,0.42372620549465234,0.21845452982115385,0.9963361596754329,0.16852981461313374,0.16791234828246232
27.5,0.23226114680059184,0.005,0.1,3,0.26283146149918846,0.11262551378825135,0.42372620549465234,0.21845452982115385,0.9958420105580256,0.1544684665250645,0.1538261882721353
28.0,0.23226114680059184,0.005,0.1,3,0.26283146149918846,0.11262551378825135,0.42372620549465234,0.21845452982115385,0.9952810451077171,0.14175691882125577,0.14108797431566925
28.5,0.23226114680059184,0.005,0.1,3,0.26283146149918846,0.11262551378825135,0.42372620549465234,0.21845452982115385,0.9946445457043691,0.13025308216595316,0.12955551773754834
29.0,0.23226114680059184,0.005,0.1,3,0.26283146149918846,0.11262551378825135,0.42372620549465234,0.21845452982115385,0.9939227565887961,0.11983068173842626,0.11910244151737134
29.5,0.23226114680059184,0.005,0.1,3,0.26283146149918846,0.11262551378825135,0.42372620549465234,0.21845452982115385,0.9931047828245007,0.11037750202765233,0.10961642517988254
30.0,0.23226114680059184,0.005,0.1,3,0.26283146149918846,0.11262551378825135,0.42372620549465234,0.21845452982115385,0.9921784835715453,0.10179380475410439,0.10099762283790525
30.5,0.23226114680059184,0.005,0.1,3,0.26283146149918846,0.11262551378825135,0.42372620549465234,0.21845452982115385,0.9911303601841688,0.09399091106668167,0.09315724553955838
31.0,0.23226114680059184,0.005,0.1,3,0.26283146149918846,0.11262551378825135,0.42372620549465234,0.21845452982115385,0.9899454398838512,0.08688993664108409,0.08601629654963795
31.5,0.23226114680059184,0.005,0.1,3,0.26283146149918846,0.11262551378825135,0.42372620549465234,0.21845452982115385,0.9886071560482478,0.08042066709236365,0.07950444698168453
32.0,0.23226114680059184,0.005,0.1,3,0.26283146149918846,0.11262551378825135,0.42372620549465234,0.21845452982115385,0.987097226499177,0.07452056078597828,0.07355903886900249
32.5,0.23226114680059184,0.005,0.1,3,0.26283146149918846,0.11262551378825135,0.42372620549465234,0.21845452982115385,0.9853955315749867,0.06913386638240357,0.06812420301372267
33.0,0.23226114680059184,0.005,0.1,3,0.26283146149918846,0.11262551378825135,0.42372620549465234,0.21845452982115385,0.9834799942382201,0.06421084306211149,0.06315007956475666
33.5,0.23226114680059184,0.005,0.1,3,0.26283146149918846,0.11262551378825135,0.42372620549465234,0.21845452982115385,0.9813264650018029,0.059707072197374526,0.05859213009505697
34.0,0.23226114680059184,0.005,0.1,3,0.26283146149918846,0.11262551378825135,0.42372620549465234,0.21845452982115385,0.9789086150567107,0.055582850159446806,0.05441053087048874
34.5,0.23226114680059184,0.005,0.1,3,0.26283146149918846,0.11262551378825135,0.42372620549465234,0.21845452982115385,0.9761978416497926,0.051802652903217165,0.05056963795585396
35.0,0.23226114680059184,0.005,0.1,3,0.26283146149918846,0.11262551378825135,0.42372620549465234,0.21845452982115385,0.9731631904867819,0.04833466391013946,0.04703751574189763
35.5,0.23226114680059184,0.005,0.1,3,0.26283146149918846,0.11262551378825135,0.42372620549465234,0.21845452982115385,0.9697713007129517,0.045150357965266986,0.043785521371632344
36.0,0.23226114680059184,0.005,0.1,3,0.26283146149918846,0.11262551378825135,0.42372620549465234,0.21845452982115385,0.9659863788373538,0.042224134078870525,0.040787938378391043
36.5,0.23226114680059184,0.005,0.1,3,0.26283146149918846,0.11262551378825135,0.42372620549465234,0.21845452982115385,0.9617702087944887,0.03953299162902982,0.038021653613322784
37.0,0.23226114680059184,0.005,0.1,3,0.26283146149918846,0.11262551378825135,0.42372620549465234,0.21845452982115385,0.957082206150463,0.0370562444959648,0.03546587223384894
37.5,0.23226114680059184,0.005,0.1,3,0.26283146149918846,0.11262551378825135,0.42372620549465234,0.21845452982115385,0.9518795252205537,0.03477526858254955,0.0331018661477745
38.0,0.23226114680059184,0.005,0.1,3,0.26283146149918846,0.11262551378825135,0.42372620549465234,0.21845452982115385,0.9461172285226823,0.03267327867151556,0.03091275186344357
38.5,0.23226114680059184,0.005,0.1,3,0.26283146149918846,0.11262551378825135,0.42372620549465234,0.21845452982115385,0.9397485284843736,0.030735131062738986,0.028883294188983326
39.0,0.23226114680059184,0.005,0.1,3,0.26283146149918846,0.11262551378825135,0.42372620549465234,0.21845452982115385,0.9327251115728131,0.028947148868842757,0.026999732658406193
39.5,0.23226114680059184,0.005,0.1,3,0.26283146149918846,0.11262551378825135,0.42372620549465234,0.21845452982115385,0.9249975549345887,0.027296967229566125,0.02524962794447826
40.0,0.23226114680059184,0.005,0.1,3,0.26283146149918846,0.11262551378825135,0.42372620549465234,0.21845452982115385,0.9165158451015509,0.02577339604042239,0.023621725853124696
40.5,0.23226114680059184,0.005,0.1,3,0.26283146149918846,0.11262551378825135,0.42372620549465234,0.21845452982115385,0.9072300072111321,0.02436629808442102,0.022105836786837876
41.0,0.23226114680059184,0.005,0.1,3,0.26283146149918846,0.11262551378825135,0.42372620549465234,0.21845452982115385,0.8970908513573218,0.023066480712162867,0.02069272881989143
41.5,0.23226114680059184,0.005,0.1,3,0.26283146149918846,0.11262551378825135,0.42372620549465234,0.21845452982115385,0.8860508399782202,0.021865599440192396,0.019374032750609775
42.0,0.23226114680059184,0.005,0.1,3,0.26283146149918846,0.11262551378825135,0.42372620549465234,0.21845452982115385,0.8740650764495017,0.020756072034473237,0.018142157689603214
42.5,0.23226114680059184,0.005,0.1,3,0.26283146149918846,0.11262551378825135,0.42372620549465234,0.21845452982115385,0.8610924101690186,0.019731001819137797,0.016990215911490657
43.0,0.23226114680059184,0.005,0.1,3,0.26283146149918846,0.11262551378825135,0.42372620549465234,0.21845452982115385,0.8470966473207532,0.018784109103623815,0.015911955844586972
43.5,0.23226114680059184,0.005,0.1,3,0.26283146149918846,0.11262551378825135,0.42372620549465234,0.21845452982115385,0.8320478492216349,0.017909669756772044,0.01490170220139194
44.0,0.23226114680059184,0.005,0.1,3,0.26283146149918846,0.11262551378825135,0.42372620549465234,0.21845452982115385,0.8159236918347784,0.017102460076700327,0.013954302365238237
44.5,0.23226114680059184,0.005,0.1,3,0.26283146149918846,0.11262551378825135,0.42372620549465234,0.21845452982115385,0.7987108509920372,0.01635770721206486,0.01306507824762691
45.0,0.23226114680059184,0.005,0.1,3,0.26283146149918846,0.11262551378825135,0.42372620549465234,0.21845452982115385,0.7804063686064061,0.01567104448504328,0.012229782918842072
45.5,0.23226114680059184,0.005,0.1,3,0.26283146149918846,0.11262551378825135,0.42372620549465234,0.21845452982115385,0.7610189463605207,0.015038471050097452,0.011444561393418356
46.0,0.23226114680059184,0.005,0.1,3,0.26283146149918846,0.11262551378825135,0.42372620549465234,0.21845452982115385,0.7405701058901643,0.014456315396207016,0.010705915023750642
46.5,0.23226114680059184,0.005,0.1,3,0.26283146149918846,0.11262551378825135,0.42372620549465234,0.21845452982115385,0.7190951493180502,0.013921202264653562,0.01001066902118783
