scenario,n_draws,sigma_B_G,sigma_opt_GHz,sigma_d_GHz,sigma_Oc_rel,opt_cut_GHz,n_orientations,Cmax,fwhm_MHz,center_MHz,Aoff_at_Cmax,dA_at_Cmax,dAmax,dA_center_MHz,Aoff_at_dAmax,C_at_dAmax,washout_factor
single,1,0.0,0.0,0.0,0.0,,1,0.01360014974074735,0.37500000000000033,0.0,0.008676964579288187,0.00011800801757348017,0.00011800801757348017,0.0,0.008676964579288187,0.01360014974074735,1.0
low_density,60,0.1,5.0,0.1,0.05,,4,0.0005721492074293866,0.37500000000000033,0.0,0.008691695706301102,4.9729468095775775e-06,4.9729468095775775e-06,0.0,0.008691695706301102,0.0005721492074293866,0.04206933146590091
high_density,60,1.0,30.0,0.3,0.1,,4,0.00012895685598832745,4.25,2.125,0.004573414874397722,5.897732033325817e-07,5.897732033325817e-07,2.125,0.004573414874397722,0.00012895685598832745,0.009482017363526548
post_selected,60,1.0,30.0,0.3,0.1,5.0,1,0.0009451684220583797,6.625000000000001,-0.4375000000000004,0.008444632803647555,7.98160026188599e-06,7.98160026188599e-06,-0.4375000000000004,0.008444632803647555,0.0009451684220583797,0.06949691290725754
post_selected_shimmed,60,0.1,30.0,0.3,0.1,5.0,1,0.0026330768063651836,1.1250000000000002,0.0,0.009030792292108458,2.3778769727452256e-05,2.3778769727452256e-05,0.0,0.009030792292108458,0.0026330768063651836,0.19360645702864826
