two_photon_detuning_GHz,two_photon_detuning_MHz,A_control_off,transparency_reduction,A_control_on,C
-0.02,-20.0,0.008676964579288187,3.5263324727450726e-07,0.008676611946040913,4.064016212723038e-05
-0.019975,-19.975,0.008676964579288187,3.5308656712427067e-07,0.008676611492721063,4.069240618626981e-05
-0.01995,-19.95,0.008676964579288187,3.5354105288241164e-07,0.008676611038235305,4.074478461353985e-05
-0.019925000000000002,-19.925,0.008676964579288187,3.5399670904865267e-07,0.008676610582579139,4.079729792762306e-05
-0.0199,-19.900000000000002,0.008676964579288187,3.544535401458819e-07,0.008676610125748042,4.0849946649771784e-05
-0.019875,-19.875,0.008676964579288187,3.5491155072030147e-07,0.008676609667737468,4.090273130392524e-05
-0.01985,-19.849999999999998,0.008676964579288187,3.553707453415785e-07,0.008676609208542846,4.095565241672696e-05
-0.019825,-19.825,0.008676964579288187,3.55831128602996e-07,0.008676608748159585,4.100871051754213e-05
-0.0198,-19.8,0.008676964579288187,3.5629270512160576e-07,0.008676608286583065,4.106190613847523e-05
-0.019775,-19.775000000000002,0.008676964579288187,3.5675547953838244e-07,0.00867660782380865,4.1115239814387805e-05
-0.01975,-19.75,0.008676964579288187,3.572194565183779e-07,0.008676607359831669,4.116871208291625e-05
-0.019725,-19.724999999999998,0.008676964579288187,3.57684640750878e-07,0.008676606894647436,4.1222323484489845e-05
-0.0197,-19.7,0.008676964579288187,3.5815103694955984e-07,0.008676606428251238,4.127607456234893e-05
-0.019675,-19.675,0.008676964579288187,3.586186498526505e-07,0.008676605960638335,4.1329965862563164e-05
-0.01965,-19.650000000000002,0.008676964579288187,3.5908748422308677e-07,0.008676605491803964,4.138399793404993e-05
-0.019625,-19.625,0.008676964579288187,3.5955754484867673e-07,0.008676605021743338,4.1438171328592994e-05
-0.0196,-19.599999999999998,0.008676964579288187,3.600288365422613e-07,0.008676604550451645,4.149248660086108e-05
-0.019575000000000002,-19.575000000000003,0.008676964579288187,3.60501364141879e-07,0.008676604077924045,4.1546944308426875e-05
-0.01955,-19.55,0.008676964579288187,3.6097513251093013e-07,0.008676603604155677,4.1601545011785984e-05
-0.019525,-19.525000000000002,0.008676964579288187,3.6145014653834333e-07,0.008676603129141649,4.165628927437604e-05
-0.0195,-19.5,0.008676964579288187,3.6192641113874327e-07,0.008676602652877048,4.171117766259613e-05
-0.019475,-19.474999999999998,0.008676964579288187,3.6240393125261946e-07,0.008676602175356934,4.1766210745826185e-05
-0.019450000000000002,-19.450000000000003,0.008676964579288187,3.628827118464961e-07,0.00867660169657634,4.182138909644657e-05
-0.019425,-19.425,0.008676964579288187,3.633627579131047e-07,0.008676601216530274,4.187671328985799e-05
-0.0194,-19.400000000000002,0.008676964579288187,3.6384407447155554e-07,0.008676600735213716,4.1932183904501244e-05
-0.019375,-19.375,0.008676964579288187,3.643266665675134e-07,0.00867660025262162,4.1987801521877464e-05
-0.01935,-19.349999999999998,0.008676964579288187,3.6481053927337236e-07,0.008676599768748914,4.204356672656828e-05
-0.019325000000000002,-19.325000000000003,0.008676964579288187,3.6529569768843305e-07,0.008676599283590498,4.2099480106256235e-05
-0.0193,-19.3,0.008676964579288187,3.657821469390814e-07,0.008676598797141248,4.2155542251745397e-05
-0.019275,-19.275000000000002,0.008676964579288187,3.6626989217896836e-07,0.008676598309396008,4.2211753756982055e-05
-0.01925,-19.25,0.008676964579288187,3.6675893858919135e-07,0.008676597820349598,4.226811521907565e-05
-0.019225,-19.224999999999998,0.008676964579288187,3.6724929137847685e-07,0.008676597329996809,4.232462723831979e-05
-0.019200000000000002,-19.200000000000003,0.008676964579288187,3.6774095578336477e-07,0.008676596838332403,4.2381290418213546e-05
-0.019175,-19.175,0.008676964579288187,3.6823393706839457e-07,0.00867659634535112,4.243810536548284e-05
-0.01915,-19.15,0.008676964579288187,3.6872824052629197e-07,0.008676595851047662,4.249507269010202e-05
-0.019125,-19.125,0.008676964579288187,3.692238714781575e-07,0.008676595355416709,4.255219300531554e-05
-0.0191,-19.099999999999998,0.008676964579288187,3.6972083527365757e-07,0.008676594858452914,4.2609466927660034e-05
-0.019075,-19.075000000000003,0.008676964579288187,3.702191372912156e-07,0.008676594360150896,4.266689507698629e-05
-0.01905,-19.05,0.008676964579288187,3.7071878293820535e-07,0.008676593860505248,4.272447807648158e-05
-0.019025,-19.025,0.008676964579288187,3.7121977765114625e-07,0.008676593359510536,4.278221655269211e-05
-0.019,-19.0,0.008676964579288187,3.717221268958996e-07,0.008676592857161292,4.284011113554571e-05
-0.018975,-18.974999999999998,0.008676964579288187,3.722258361678662e-07,0.00867659235345202,4.289816245837454e-05
-0.01895,-18.950000000000003,0.008676964579288187,3.7273091099218665e-07,0.008676591848377196,4.295637115793822e-05
-0.018925,-18.925,0.008676964579288187,3.732373569239425e-07,0.008676591341931264,4.301473787444698e-05
-0.0189,-18.9,0.008676964579288187,3.737451795483589e-07,0.00867659083410864,4.307326325158504e-05
-0.018875,-18.875,0.008676964579288187,3.7425438448100923e-07,0.008676590324903706,4.313194793653417e-05
-0.01885,-18.849999999999998,0.008676964579288187,3.747649773680215e-07,0.008676589814310819,4.3190792579997514e-05
-0.018825,-18.825000000000003,0.008676964579288187,3.75276963886286e-07,0.008676589302324301,4.324979783622348e-05
-0.0188,-18.8,0.008676964579288187,3.7579034974366523e-07,0.008676588788938443,4.330896436302994e-05
-0.018775,-18.775,0.008676964579288187,3.763051406792049e-07,0.008676588274147507,4.33682928218286e-05
-0.01875,-18.75,0.008676964579288187,3.7682134246334736e-07,0.008676587757945725,4.342778387764951e-05
-0.018725,-18.724999999999998,0.008676964579288187,3.7733896089814593e-07,0.008676587240327289,4.348743819916582e-05
-0.0187,-18.700000000000003,0.008676964579288187,3.778580018174818e-07,0.00867658672128637,4.35472564587188e-05
-0.018675,-18.675,0.008676964579288187,3.7837847108728224e-07,0.0086765862008171,4.360723933234292e-05
-0.01865,-18.65,0.008676964579288187,3.789003746057409e-07,0.008676585678913582,4.36673874997913e-05
-0.018625,-18.625,0.008676964579288187,3.7942371830353964e-07,0.008676585155569884,4.3727701644561235e-05
-0.018600000000000002,-18.6,0.008676964579288187,3.799485081440721e-07,0.008676584630780044,4.378818245391997e-05
-0.018575,-18.575000000000003,0.008676964579288187,3.8047475012367014e-07,0.008676584104538063,4.384883061893083e-05
-0.01855,-18.55,0.008676964579288187,3.8100245027183027e-07,0.008676583576837916,4.3909646834479265e-05
-0.018525,-18.525,0.008676964579288187,3.815316146514437e-07,0.008676583047673535,4.39706317992994e-05
-0.0185,-18.5,0.008676964579288187,3.8206224935902775e-07,0.008676582517038829,4.403178621600068e-05
-0.018475000000000002,-18.475,0.008676964579288187,3.825943605249587e-07,0.008676581984927663,4.409311079109473e-05
-0.01845,-18.450000000000003,0.008676964579288187,3.8312795431370723e-07,0.008676581451333874,4.415460623502246e-05
-0.018425,-18.425,0.008676964579288187,3.836630369240754e-07,0.008676580916251264,4.42162732621814e-05
-0.0184,-18.4,0.008676964579288187,3.841996145894356e-07,0.008676580379673598,4.427811259095324e-05
-0.018375,-18.375,0.008676964579288187,3.847376935779724e-07,0.00867657984159461,4.434012494373168e-05
-0.01835,-18.35,0.008676964579288187,3.852772801929244e-07,0.008676579302007995,4.440231104695031e-05
-0.018325,-18.325,0.008676964579288187,3.8581838077283106e-07,0.008676578760907414,4.446467163111107e-05
-0.0183,-18.3,0.008676964579288187,3.8636100169177817e-07,0.008676578218286496,4.452720743081254e-05
-0.018275,-18.275,0.008676964579288187,3.8690514935964875e-07,0.008676577674138828,4.458991918477883e-05
-0.01825,-18.25,0.008676964579288187,3.8745083022237313e-07,0.008676577128457964,4.465280763588844e-05
-0.018225,-18.225,0.008676964579288187,3.8799805076218333e-07,0.008676576581237425,4.471587353120354e-05
-0.0182,-18.2,0.008676964579288187,3.885468174978685e-07,0.00867657603247069,4.477911762199943e-05
