config,C_full,C_red,ratio_full_red,fwhm_full_MHz,fwhm_red_MHz,fwhm_ratio,center_full_MHz,center_red_MHz,sign_preserved,exc_pop,singlet_pop,rho_cp_over_Op,res_steady,res_full
base,0.013835679552592212,0.013816079875835488,1.0014186134513454,0.33333333333333304,0.33333333333333304,1.0,-0.04166666666666728,0.041666666666666415,True,2.2408122045315243e-05,0.0,0.4828721070060131,1.8896374385998116e-14,1.1964203726770278e-13
isc,0.013865604862238206,0.013816079875835488,1.0035845903358838,0.33333333333333304,0.33333333333333304,1.0,-0.04166666666666728,0.041666666666666415,True,1.1227783874794213e-05,0.0002869991919855425,0.5135606136906995,3.741482883976449e-15,3.006037799195021e-09
hyperfine,0.01194387297069376,0.013816079875835488,0.8644907295001787,0.45833333333333315,0.33333333333333304,1.3750000000000007,0.0,0.041666666666666415,True,2.2408117267201384e-05,0.0,0.3903496772178078,2.931882838260709e-14,8.480461887846193e-14
isc+hyperfine,0.011966807154107627,0.013816079875835488,0.8661506926460186,0.45833333333333315,0.33333333333333304,1.3750000000000007,0.0,0.041666666666666415,True,1.122781429272512e-05,0.00028699995441293504,0.4151511998439014,6.633558705667894e-16,2.0973275321292855e-09
