Oc_GHz,half_MHz,fwhm_MHz,depth,delta_aic,verdict,best_model,w_eit,w_ats,w_lor,w_fano
0.020000000000000004,20.0,0.03333333333333313,-3.366463470958446e-05,31.19519528521778,robust EIT,Lorentzian,0.07379251847901741,1.2418288513939266e-08,0.5452580055705044,0.3809494635321897
0.026670428643266485,20.0,0.03333333333333313,-5.02754201590315e-05,81.19584689006297,robust EIT,Lorentzian,0.08681110756202347,2.0282485221441973e-19,0.6411031191979322,0.2720857732400444
0.03556558820077846,20.0,0.06666666666666626,-6.929619708864743e-05,186.76097092831333,robust EIT,Lorentzian,0.09065613174499554,2.5279450500030477e-42,0.6647778523321659,0.24456601592283855
0.047427474113233115,20.0,0.06666666666666626,-8.765915927616899e-05,396.2076592212252,robust EIT,Lorentzian,0.09088705953785868,8.37726028111532e-88,0.6461210515300082,0.26299188893213304
0.0632455532033676,20.0,0.13333333333333253,-0.00010269425143844338,725.5467497312275,robust EIT,Lorentzian,0.09224156272681952,2.596879311277442e-159,0.5992171723410619,0.30854126493211864
0.08433930068571646,20.0,0.26666666666666505,-0.00011433788012722539,1133.148710145946,robust EIT,Lorentzian,0.10409791304154692,9.064127935916197e-248,0.5260359216512946,0.36986616530715843
0.11246826503806984,20.0,0.46666666666666734,-0.0001231843219793409,1640.050635537289,robust EIT,Fano,0.1433708836016625,0.0,0.4186612208071655,0.43796789559117205
0.14997884186649119,20.0,0.800000000000002,-0.000128021744012689,2187.0756981484774,robust EIT,Fano,0.27264573286882665,0.0,0.2674745965848608,0.45987967054631246
0.2,20.0,1.3999999999999986,-0.00013079170274273716,2727.831162874936,robust EIT,EIT,0.6951259021486744,0.0,0.08375375810734129,0.22112033974398426
0.26670428643266486,20.0,2.466666666666666,-0.00013215452276967715,3191.240421226119,robust EIT,EIT,0.9935836763541895,0.0,0.002352171502675653,0.004064152143134614
0.3556558820077846,25.84422342645953,4.350444276787355,-0.0001327022398857937,2934.462111543273,robust EIT,Fano,0.011219061751940786,0.0,3.436904461076169e-05,0.9887465692034485
0.4742747411323311,45.76989324970304,7.70459869703334,-0.00013336451878135681,1678.082948821433,robust EIT,Fano,2.2099148071535006e-38,0.0,1.659393059493001e-38,1.0
0.632455532033676,81.20330162761086,13.53388360460181,-0.00013390507854018144,708.5106829634678,robust EIT,Fano,3.063156509830051e-67,4.3154808829169993e-221,1.2423637111060927e-66,1.0
0.8433930068571646,1748.0460869520598,3496.0921739041196,0.0010244583775640744,-1.995980885926656,inconclusive,Fano,0.0,0.0,0.0,1.0
1.1246826503806984,3106.231247401526,6212.462494803052,0.0018070415284976611,-1.9992390475135835,inconclusive,Fano,0.0,0.0,0.0,1.0
1.4997884186649117,5521.463953249222,11042.927906498444,0.0030760875201445124,-1.9991321999686988,inconclusive,Fano,0.0,0.0,0.0,1.0
2.0000000000000004,9816.422544510777,19632.845089021554,-0.0045545421531007465,-2.0183669244493103,inconclusive,Fano,0.0,0.0,0.0,1.0
2.6670428643266484,17454.058974320968,15388.66199569299,0.0072224678834500785,-2.1245555923478605,inconclusive,Fano,0.0,0.0,0.0,1.0
3.556558820077846,31035.91057881563,21259.598746488704,0.010904404499337546,-18.798335931867314,robust ATS,Fano,0.0,0.0,0.0,1.0
4.742747411323311,55188.23763729258,23822.922580097962,0.012365490607164274,-26.374199635522018,robust ATS,Fano,3.4534323589883797e-236,1.8421951612093522e-230,8.595434882614868e-240,1.0
6.32455532033676,98137.82354990812,24370.892848227184,0.012822080748508716,-34.964181210004426,robust ATS,Fano,6.540648444791571e-178,2.558564021943366e-170,2.94483486506669e-184,1.0
8.433930068571646,174514.1878480101,24722.843278468106,0.012967155633869716,-39.90569204435633,robust ATS,Fano,5.62889968902473e-153,2.605160201900422e-144,3.0823985898242254e-161,1.0
11.246826503806982,116762.67983972497,24520.162766342255,0.012890367420313957,-37.92360490000192,robust ATS,Fano,2.162920085816277e-167,3.7157513536358175e-159,1.85429652754281e-174,1.0
14.997884186649118,137963.99361943157,24603.578862131966,0.012939530903648841,-39.716626894822184,robust ATS,Fano,6.965932671181893e-160,2.9331564123139682e-151,1.5547998820457084e-167,1.0
20.000000000000004,144749.3954565725,24607.397227617326,0.012961495848106784,-40.434001247901506,robust ATS,Fano,6.465993894504519e-158,3.8973292936719355e-149,9.750153492729896e-166,1.0
