n_class,system,material_type,slope,predicted,compensated_spread,plateau_value,window_stable
1,group-IV SiV,diamond,0.9999967113374594,1,1.6619980719527908e-05,0.9999941399298747,True
1,SC generic,non-diamond,0.9962037377403505,1,0.014379214163190131,254077978.9948802,True
2,NV 0<->-1,diamond,1.999805880236965,2,0.0006323912536493918,0.14138226322628242,True
2,SC protected,non-diamond,1.9961654372793785,2,0.014555058591733297,5081226.936217208,True
3,NV -1<->+1,diamond,2.9995899827147934,3,0.0013498014511685113,8.256720696114211,True
